EbN0_dB,N_frames,N_errors,FER
0.5,35,30,0.8571428571428571
1.0,37,30,0.8108108108108109
1.5,40,30,0.75
2.0,49,30,0.6122448979591837
2.5,54,30,0.5555555555555556
3.0,74,30,0.40540540540540543
3.5,128,30,0.234375
4.0,150,30,0.2
4.5,273,30,0.10989010989010989
5.0,454,30,0.06607929515418502
5.5,1905,30,0.015748031496062992
