EbN0_dB,N_frames,N_errors,FER
0.0,>=stop_errors,682,0.6818181818181818
0.5,>=stop_errors,536,0.5357142857142857
1.0,>=stop_errors,375,0.375
1.5,>=stop_errors,221,0.22058823529411764
2.0,>=stop_errors,109,0.10948905109489052
2.5,>=stop_errors,54,0.05357142857142857
3.0,>=stop_errors,19,0.019083969465648856
