EbN0_dB,N_frames,N_errors,FER
0.5,>=stop_errors,638,0.6382978723404256
1.0,>=stop_errors,469,0.46875
1.5,>=stop_errors,390,0.38961038961038963
2.0,>=stop_errors,191,0.1910828025477707
2.5,>=stop_errors,87,0.08746355685131195
3.0,>=stop_errors,31,0.030518819938962362
3.5,>=stop_errors,8,0.008198961464881116
4.0,>=stop_errors,7,0.006567425569176883
