EbN0_dB,N_frames,N_errors,FER
0.5,>=stop_errors,500,0.5
1.0,>=stop_errors,385,0.38461538461538464
1.5,>=stop_errors,291,0.2912621359223301
2.0,>=stop_errors,113,0.11320754716981132
2.5,>=stop_errors,105,0.10452961672473868
3.0,>=stop_errors,30,0.030211480362537766
3.5,>=stop_errors,9,0.009436929852154765
4.0,>=stop_errors,3,0.0029174365457551297
