EbN0_dB,N_frames,N_errors,FER
0.5,37,30,0.8108108108108109
1.0,35,30,0.8571428571428571
1.5,44,30,0.6818181818181818
2.0,52,30,0.5769230769230769
2.5,70,30,0.42857142857142855
3.0,129,30,0.23255813953488372
3.5,189,30,0.15873015873015872
4.0,293,30,0.10238907849829351
4.5,1005,30,0.029850746268656716
5.0,3290,30,0.00911854103343465
5.5,9624,30,0.003117206982543641
