EbN0_dB,N_frames,N_errors,FER
0.0,35,30,0.8571428571428571
0.5,37,30,0.8108108108108109
1.0,52,30,0.5769230769230769
1.5,48,30,0.625
2.0,95,30,0.3157894736842105
2.5,101,30,0.297029702970297
3.0,177,30,0.1694915254237288
3.5,517,30,0.058027079303675046
4.0,1553,30,0.019317450096587252
